name,team,position,salary,projected_fpts,count,pct,std_fpts,baseline_pct,lift
Andrei Vasilevskiy,TBL,G,8300,13.090216874050805,1049,44.0,0.86,16.7,2.6
Jeremy Swayman,BOS,G,7100,11.83478398785234,538,22.6,0.0,16.7,1.4
Jack Eichel,VGK,C,9300,13.990094344032215,536,22.5,10.3,9.3,2.4
Mikael Granlund,ANA,C,5400,9.08210220540954,530,22.3,10.13,9.3,2.4
Nikita Kucherov,TBL,W,9100,14.636819351161465,487,20.4,9.4,6.9,3.0
Brandon Bussi,CAR,G,8200,11.897053500686935,482,20.2,1.02,16.7,1.2
Brandon Hagel,TBL,W,7100,12.676310310975406,478,20.1,10.74,6.9,2.9
Cutter Gauthier,ANA,W,6800,12.998424309311716,470,19.7,9.74,6.9,2.9
Adrian Kempe,LAK,W,5800,10.576451917357215,448,18.8,6.95,6.9,2.7
Darren Raddysh,TBL,D,6200,12.666510630870965,446,18.7,9.27,4.5,4.2
Sebastian Aho,CAR,C,6600,10.581651776354555,441,18.5,8.51,9.3,2.0
David Pastrnak,BOS,W,9400,13.74919485200105,436,18.3,10.98,6.9,2.7
Mark Stone,VGK,W,7400,13.458412060380567,435,18.3,8.81,6.9,2.7
Seth Jarvis,CAR,W,6500,12.478577568936668,431,18.1,9.58,6.9,2.6
Beckett Sennecke,ANA,W,5900,9.492246940447053,422,17.7,8.34,6.9,2.6
Tomas Hertl,VGK,C,5900,10.986091037891025,410,17.2,8.64,9.3,1.8
Pavel Dorofeyev,VGK,W,6400,10.337166420332982,401,16.8,9.39,6.9,2.4
Jake Guentzel,TBL,W,6700,12.26987744199095,395,16.6,8.78,6.9,2.4
Shayne Gostisbehere,CAR,D,5000,11.416522207501398,392,16.5,8.04,4.5,3.7
Morgan Geekie,BOS,W,5500,11.026665682781358,367,15.4,7.65,6.9,2.2
Fraser Minten,BOS,C,3300,6.275116426675651,361,15.2,7.53,9.3,1.6
Andrei Svechnikov,CAR,W,6200,10.633851102737955,355,14.9,8.95,6.9,2.2
Mitch Marner,VGK,C,6100,9.869199967693385,341,14.3,7.28,9.3,1.5
Jackson LaCombe,ANA,D,5200,9.2340794898704,318,13.4,5.48,4.5,3.0
Alex Laferriere,LAK,C,4500,7.819370312820782,302,12.7,7.31,9.3,1.4
Anton Forsberg,LAK,G,7200,11.680344162723307,298,12.5,0.0,16.7,0.7
Quinton Byfield,LAK,C,4300,7.345360296100283,293,12.3,6.1,9.3,1.3
Anthony Cirelli,TBL,C,5000,8.474462111014077,288,12.1,6.6,9.3,1.3
Charlie McAvoy,BOS,D,5700,9.223947032907763,277,11.6,5.21,4.5,2.6
Jackson Blake,CAR,W,3700,7.905023264067615,264,11.1,7.51,6.9,1.6
Kevin Fiala,LAK,W,5200,9.577654357683993,261,11.0,6.22,6.9,1.6
Chris Kreider,ANA,W,3800,7.839952605726812,247,10.4,6.98,6.9,1.5
Alex Steeves,BOS,C,2600,5.402510039004133,244,10.2,6.08,9.3,1.1
Shea Theodore,VGK,D,4900,9.24576870981839,243,10.2,5.93,4.5,2.3
Brandt Clarke,LAK,D,4400,8.277472545056737,236,9.9,5.1,4.5,2.2
Nikolaj Ehlers,CAR,W,5700,9.348098121260412,230,9.7,8.86,6.9,1.4
Corey Perry,LAK,W,3200,7.420971941678593,229,9.6,6.11,6.9,1.4
Viktor Arvidsson,BOS,W,4200,9.391798421491284,226,9.5,5.83,6.9,1.4
Anze Kopitar,LAK,C,3700,6.002510813486026,217,9.1,5.09,9.3,1.0
Noah Hanifin,VGK,D,4000,8.211358354237781,215,9.0,5.27,4.5,2.0
Ivan Barbashev,VGK,W,3400,7.224957284575119,215,9.0,6.1,6.9,1.3
Yanni Gourde,TBL,C,2800,5.397018742136783,197,8.3,5.49,9.3,0.9
Ryan McDonagh,TBL,D,3100,6.676213058999386,196,8.2,5.14,4.5,1.8
Logan Stankoven,CAR,C,3400,6.877433203760155,185,7.8,5.24,9.3,0.8
Joel Armia,LAK,C,2700,5.347800225295778,180,7.6,6.26,9.3,0.8
Jacob Trouba,ANA,D,5100,8.346754327779513,174,7.3,5.47,4.5,1.6
Oliver Bjorkstrand,TBL,W,3200,5.745304407046557,173,7.3,5.97,6.9,1.1
K'Andre Miller,CAR,D,3000,7.507926213378996,173,7.3,6.0,4.5,1.6
Ryan Poehling,ANA,C,3900,4.932181609334814,155,6.5,3.87,9.3,0.7
Olen Zellweger,ANA,D,3000,6.85402614230931,146,6.1,4.74,4.5,1.4
Hampus Lindholm,BOS,D,3500,7.311398129348378,145,6.1,5.6,4.5,1.4
Casey Mittelstadt,BOS,W,3100,6.1631386161045825,140,5.9,5.4,6.9,0.9
Mason Lohrei,BOS,D,2800,6.345336558338774,137,5.8,4.81,4.5,1.3
Andrei Kuzmenko,LAK,W,3100,5.402303656703435,136,5.7,5.05,6.9,0.8
Alex Killorn,ANA,W,3500,5.467415119189951,133,5.6,4.9,6.9,0.8
Jordan Staal,CAR,C,3000,5.877255150860657,124,5.2,5.68,9.3,0.6
Trevor Moore,LAK,W,3300,5.819508528513445,121,5.1,4.82,6.9,0.7
Warren Foegele,LAK,W,2900,4.5519841129388965,117,4.9,5.1,6.9,0.7
Alexander Nikishin,CAR,D,3300,6.9450794588798015,115,4.8,4.76,4.5,1.1
Ben Hutton,VGK,D,2500,6.118270992067001,114,4.8,4.1,4.5,1.1
Dominic James,TBL,C,2600,4.5256524071440705,113,4.7,5.34,9.3,0.5
Sean Kuraly,BOS,C,2500,4.506232914189729,111,4.7,3.86,9.3,0.5
Sean Walker,CAR,D,3200,7.534649007833055,109,4.6,4.13,4.5,1.0
Joel Edmundson,LAK,D,2500,5.715798228472803,104,4.4,4.1,4.5,1.0
Michael Eyssimont,BOS,W,2500,5.923866127646338,99,4.2,5.06,6.9,0.6
Nikita Zadorov,BOS,D,2800,5.701610882643005,96,4.0,3.79,4.5,0.9
Taylor Hall,CAR,W,3600,6.321504000537589,95,4.0,5.79,6.9,0.6
Braeden Bowman,VGK,W,2600,5.8265910755384605,95,4.0,4.99,6.9,0.6
Drew Doughty,LAK,D,3200,6.140355335213707,88,3.7,3.48,4.5,0.8
Tanner Laczynski,VGK,C,2500,4.327235289987418,88,3.7,4.01,9.3,0.4
Ryan Strome,ANA,W,2800,3.854998444656099,86,3.6,4.61,6.9,0.5
Victor Hedman,TBL,D,4600,7.710386022584601,86,3.6,3.69,4.5,0.8
Ian Moore,ANA,D,2500,4.961284639297471,82,3.4,2.78,4.5,0.8
J.J. Moser,TBL,D,3100,6.6183218649002065,76,3.2,4.2,4.5,0.7
Max Crozier,TBL,D,2500,5.697445483519694,75,3.1,3.3,4.5,0.7
Andrew Peeke,BOS,D,2600,5.291037872098962,75,3.1,3.81,4.5,0.7
Tanner Jeannot,BOS,W,2500,4.796258544141875,72,3.0,3.96,6.9,0.4
Pavel Mintyukov,ANA,D,3400,5.628055113206919,72,3.0,4.59,4.5,0.7
Marat Khusnutdinov,BOS,W,2800,5.4640284841612665,70,2.9,7.79,6.9,0.4
Mark Jankowski,CAR,C,2500,3.8693088340231636,69,2.9,4.71,9.3,0.3
Radko Gudas,ANA,D,2700,5.40760501416084,67,2.8,2.92,4.5,0.6
Kaedan Korczak,VGK,D,2500,4.827774023088316,65,2.7,3.59,4.5,0.6
Bradly Nadeau,CAR,W,2500,4.213358730388958,63,2.6,5.5,6.9,0.4
Jordan Martinook,CAR,W,2700,4.958062150493411,63,2.6,4.47,6.9,0.4
Reilly Smith,VGK,W,3000,4.457857709182975,60,2.5,4.76,6.9,0.4
Nikita Nesterenko,ANA,W,2500,3.9225677599661712,58,2.4,5.64,6.9,0.3
Alexander Holtz,VGK,W,2500,3.6738904090560687,58,2.4,4.75,6.9,0.3
Brian Dumoulin,LAK,D,2500,4.676396113576627,58,2.4,3.03,4.5,0.5
Zemgus Girgensons,TBL,W,2500,4.531772455752256,57,2.4,4.32,6.9,0.3
Pontus Holmberg,TBL,W,2600,4.959032371914875,55,2.3,4.49,6.9,0.3
Gage Goncalves,TBL,W,2700,4.031108374346132,50,2.1,4.41,6.9,0.3
Mark Kastelic,BOS,W,2500,4.673731306304012,49,2.1,4.56,6.9,0.3
Jeremy Lauzon,VGK,D,2900,4.844917844851741,47,2.0,2.73,4.5,0.4
Mikey Anderson,LAK,D,2800,4.360464827290434,46,1.9,2.92,4.5,0.4
Taylor Ward,LAK,W,2500,4.039552526831897,45,1.9,3.94,6.9,0.3
Nick Paul,TBL,W,2500,4.923031286269353,43,1.8,4.2,6.9,0.3
Declan Carlile,TBL,D,2500,3.8613940749230338,40,1.7,2.96,4.5,0.4
Keegan Kolesar,VGK,W,2600,3.684726385195057,39,1.6,4.29,6.9,0.2
Samuel Helenius,LAK,C,2500,2.5460511603597458,39,1.6,3.53,9.3,0.2
Mike Reilly,CAR,D,2500,5.90553691548456,38,1.6,3.71,4.5,0.4
Ross Johnston,ANA,W,2500,2.6500592256384845,38,1.6,4.05,6.9,0.2
Jansen Harkins,ANA,C,2700,2.6561655431514906,36,1.5,3.3,9.3,0.2
Cole Reinhardt,VGK,C,2500,2.5147678710295165,35,1.5,3.57,9.3,0.2
Jack Finley,TBL,C,2500,2.4631794852222546,35,1.5,3.86,9.3,0.2
Andre Lee,LAK,W,2500,3.4930061256638902,34,1.4,3.79,6.9,0.2
Drew Helleson,ANA,D,2500,4.625076007851843,34,1.4,3.17,4.5,0.3
Jalen Chatfield,CAR,D,2700,5.6579645813115835,33,1.4,3.96,4.5,0.3
Henri Jokiharju,BOS,D,2500,4.687599710489126,32,1.3,3.35,4.5,0.3
Jonathan Aspirot,BOS,D,2600,4.257666984762005,29,1.2,3.44,4.5,0.3
Cody Ceci,LAK,D,2500,4.143787086574689,24,1.0,2.46,4.5,0.2
Scott Sabourin,TBL,W,2500,3.4730889234304114,24,1.0,4.31,6.9,0.1
Victor Soderstrom,BOS,D,2500,4.221257844746367,23,1.0,2.39,4.5,0.2
Conor Geekie,TBL,W,2500,2.8627784625278685,23,1.0,2.44,6.9,0.1
Joel Nystrom,CAR,D,2500,4.965569094314941,22,0.9,3.16,4.5,0.2
Tim Washe,ANA,C,2500,2.449756394661984,20,0.8,2.96,9.3,0.1
William Carrier,CAR,W,2500,4.173960798538916,17,0.7,4.19,6.9,0.1
Jesperi Kotkaniemi,CAR,W,2500,3.9321648869591046,16,0.7,3.52,6.9,0.1
Lukas Dostal,ANA,G,7600,9.27108684718523,15,0.6,0.0,16.7,0.0
Jeff Malott,LAK,W,2500,3.179768022398327,10,0.4,3.3,6.9,0.1
Steven Santini,TBL,D,2500,3.0163042938553373,9,0.4,2.65,4.5,0.1
Sam Colangelo,ANA,W,2500,2.6497281036436653,6,0.3,3.21,6.9,0.0
Erik Cernak,TBL,D,2600,4.527886511968386,3,0.1,2.08,4.5,0.0
Jaccob Slavin,CAR,D,2900,4.765310689634502,3,0.1,2.36,4.5,0.0
Michael Callahan,BOS,D,2500,3.5223695171188183,1,0.0,1.34,4.5,0.0
