team,opp,moneyline,spread,handicap_spread,game_total,game_total_over,game_total_under
CHI,PIT,163,1.5,-159,6,-116,103
PIT,CHI,-183,-1.5,140,6,,
UTA,CAR,157,1.5,-164,6,-113,101
CAR,UTA,-176,-1.5,145,6,,
NSH,NJD,122,1.5,-214,6,-102,-111
NJD,NSH,-135,-1.5,186,6,,
PHI,BOS,147,1.5,-169,6.5,105,-118
BOS,PHI,-164,-1.5,148,6.5,,
COL,MTL,-125,-1.5,182,6.5,-124,110
MTL,COL,113,1.5,-209,6.5,,
LAK,BUF,114,1.5,-226,6,101,-113
BUF,LAK,-127,-1.5,195,6,,
NYI,NYR,-133,-1.5,187,6,-107,-105
NYR,NYI,120,1.5,-216,6,,
WPG,TBL,177,1.5,-147,5.5,-116,103
TBL,WPG,-198,-1.5,130,5.5,,
WAS,DET,112,1.5,-232,6.5,-101,-112
DET,WAS,-124,-1.5,200,6.5,,
CGY,MIN,175,1.5,-145,6,-103,-109
MIN,CGY,-197,-1.5,129,6,,
FLA,STL,-156,-1.5,163,5.5,-107,-105
STL,FLA,140,1.5,-187,5.5,,
SJS,EDM,184,1.5,-130,7,113,-127
EDM,SJS,-207,-1.5,115,7,,
DAL,VGK,118,1.5,-219,6,-107,-105
VGK,DAL,-131,-1.5,190,6,,
TOR,SEA,-104,1.5,-268,6.5,100,-112
SEA,TOR,-106,-1.5,228,6.5,,
ANA,VAN,-136,-1.5,171,6.5,-124,110
VAN,ANA,123,1.5,-196,6.5,,